"Row.names","logFC","logCPM","PValue","FDR"," DMSO"," Indole"," TCDD"
"Prr9",-0.316595228506789,2.64920286102668,0.326431051367828,0.669732352098474,127.788902606465,102.742217655,100.648466346518
"4933406C10Rik",0.258782538866943,2.01238015703621,0.327126643406785,0.669868783993837,65.0727368079356,83.5857913754781,58.2958287080297
"Dgcr2",0.157251834559166,6.4705874567491,0.327270328443067,0.669868783993837,1449.36066702971,1680.93959931176,1619.11445015434
"Dusp9",0.236675149248407,1.98390745868414,0.327219182830675,0.669868783993837,58.4926781768477,71.9599529306262,74.4641662681622
"Enoph1",0.183062871564891,5.19913829078808,0.326957069640111,0.669868783993837,553.622529702576,669.576908696928,713.030484408014
"Ensa",0.143599610606333,6.93683486405599,0.327044348856889,0.669868783993837,2033.58719438687,2327.87583659326,2169.60274050991
"Fmnl2",-0.209191844054517,4.19533060925518,0.327306486589121,0.669868783993837,334.732069418796,292.407951214842,343.198460932573
"Lipt1",0.247203357280419,2.50359005086096,0.327142272458401,0.669868783993837,84.3300878798387,104.937829734807,101.576524633535
"Nr1h4",0.200072971842346,6.35743882612428,0.326821513936914,0.669868783993837,1247.02021580721,1526.35128969059,1530.94185799705
"Pnliprp2",0.32349283052026,5.77043659424004,0.327239441574134,0.669868783993837,758.708489590981,1042.89347659413,1057.79950294911
"Prmt10",0.160783078446714,4.25477252297201,0.327231276734093,0.669868783993837,296.167897621198,344.652959172047,370.572459617396
"Prpf39",0.15731540201463,5.79915916318042,0.326709044773536,0.669868783993837,910.107520343268,1042.85727927702,1012.22646664294
"Prps1l3",0.194372047986804,4.93956219885862,0.326997439524013,0.669868783993837,493.417696634926,581.595510353701,569.760631997408
"Ptbp3",-0.174425828903496,8.60476472744837,0.326813118195083,0.669868783993837,7430.93399880397,6728.72320363332,6561.00508963009
"Ndufaf7",-0.14623954599489,4.69624148717699,0.327447382653567,0.669910308268596,455.418173733098,427.617610345416,487.310577408183
"Tac1",-0.283433369509829,2.73303787396657,0.327406419316046,0.669910308268596,127.646954555332,106.472550983474,118.258881274739
"Arsk",0.179199767436269,3.32928391032511,0.327580521863368,0.670059292465504,156.300045662688,183.452544579316,186.865335104432
"Myh14",-0.15200232723314,10.1149328289998,0.327642501113043,0.670062692353607,19070.7461775637,18075.2417514253,21297.8085399515
"Cdhr2",0.17879801825488,9.54229447909804,0.327830421703063,0.670210719351144,11805.8556609737,14197.1619192922,13342.2417194287
"Hif1an",0.149496648002837,6.40346683945346,0.327835543159071,0.670210719351144,1392.79295248479,1594.73408303619,1527.64767933012
"1810043G02Rik",0.244737370747328,2.691638589128,0.32817852090985,0.670294519722854,92.0781744158397,115.341642198976,127.823301825685
"2610528J11Rik",-0.176320240417894,6.45143340658736,0.328329863174528,0.670294519722854,1526.59374260236,1434.78190433792,1621.65200192189
