sample_id,Indole2,Indole3,Indole1,DMSO1,DMSO2,DMSO3,TCDD1,TCDD2,TCDD3
Rtn4r,18,15,17,34,32,30,41,26,25
Rtn4rl1,28,45,49,51,34,31,46,42,44
Rtn4rl2,1,0,0,0,0,1,0,0,0
Rtp1,0,0,0,0,0,0,0,0,0
Rtp2,0,0,0,0,0,0,0,0,0
Rtp3,0,0,0,0,0,0,0,0,0
Rtp4,330,427,509,208,479,395,373,346,455
Rttn,111,122,141,161,99,154,97,124,132
Rufy1,582,659,699,597,764,641,722,659,685
Rufy2,218,201,247,380,190,300,238,247,267
Rufy3,186,244,238,221,162,167,139,215,243
Rufy4,0,0,0,0,0,0,0,0,0
Rundc1,552,611,679,557,684,568,532,680,633
Rundc3a,85,100,138,200,127,167,99,127,99
Rundc3b,915,1003,1188,795,568,880,612,980,1080
Runx1,595,601,748,890,548,701,742,847,762
Runx1t1,6,8,6,10,11,8,10,10,7
Runx2,14,11,8,39,14,20,10,16,19
Runx2os1,0,0,0,0,0,0,0,1,0
Runx2os2,0,0,0,0,0,0,0,1,0
Runx2os3,0,0,0,0,0,0,0,0,0
Runx3,0,0,0,1,1,1,0,0,0
Rusc1,404,532,511,534,626,496,529,563,528
Rusc2,304,287,338,496,360,407,483,486,379
Ruvbl1,155,216,255,184,210,152,165,273,225
Ruvbl2,977,1229,1248,1347,1545,1228,1259,1683,1309
Rwdd1,233,286,311,277,184,310,193,338,279
Rwdd2a,18,38,19,36,26,23,18,22,32
Rwdd2b,348,446,448,391,389,364,342,408,365
Rwdd3,38,44,55,40,34,47,45,50,64
Rwdd4a,758,858,910,689,829,748,816,1013,927
Rxfp1,0,0,0,0,0,0,0,0,0
Rxfp2,0,0,0,0,0,0,0,0,1
Rxfp3,0,0,1,0,0,0,0,0,0
Rxfp4,0,1,0,5,2,2,0,3,0
Rxra,1688,2011,2052,1553,1653,1618,1446,1931,1851
Rxrb,689,833,798,770,776,669,647,810,813
Rxrg,0,0,0,0,0,0,0,0,0
Rybp,437,541,567,530,441,492,536,502,557
Ryk,1204,1354,1535,1482,1682,1470,1678,1811,1564
Ryr1,0,0,0,2,0,5,1,2,1
Ryr2,3,4,3,0,2,1,3,2,4
Ryr3,50,55,49,33,33,41,49,63,42
S100a1,1615,1881,1925,1686,4687,1681,3377,1832,2067
S100a10,5888,7033,7773,7324,10974,7096,7351,7573,7959
S100a11,2102,2361,2214,3239,8572,2443,6700,2697,2477
S100a13,610,663,797,610,1171,642,657,664,699
S100a14,10255,11523,12872,12880,10819,11999,7581,13946,13680
S100a16,9315,11318,12246,12897,13517,11791,10906,14145,12453
S100a2,0,0,3,10,3,3,0,4,2
S100a3,15,7,10,37,11,11,11,9,12
S100a4,19,11,11,679,49,463,77,47,16
S100a5,0,1,0,3,4,1,1,2,2
S100a6,26535,31456,36035,39258,27924,36316,19254,37377,34799
S100a7a,46,46,57,85,80,52,117,105,58
S100a8,0,6,0,10,0,0,7,7,6
S100a9,2,1,0,9,1,4,1,6,2
S100b,4,1,1,0,3,1,0,0,1
S100g,1693,1539,2597,2124,1644,1786,1065,1998,1434
S100pbp,171,231,222,169,113,151,141,138,207
S100z,3,5,8,1,3,3,9,8,4
S1pr1,0,0,0,0,1,0,0,0,0
S1pr2,44,59,43,91,42,56,39,36,46
S1pr3,0,0,0,0,0,0,1,0,0
