"Row.names","logFC","logCPM","PValue","FDR"," DMSO"," Indole"," TCDD"
"Arhgap20",1.10473141182663,2.13714842233221,2.54062778769295e-05,0.00855267699802454,44.9736011722711,74.3784207219772,108.258091160365
"Ctsh",-0.756548817664475,7.22033614061342,2.66789955807336e-05,0.0087169694678344,3553.90047178295,2065.28893855316,2273.55247290883
"8430408G22Rik",-1.10992431982745,2.39356336196051,2.78686568373095e-05,0.00884551168016203,141.066749861901,55.0675327657673,69.6992452688512
"Arc",-1.25331237547283,4.29504073726224,2.97512086525793e-05,0.00918072713670843,547.039564512039,248.14842535481,236.919498495072
"1700016C15Rik",-0.977364517231558,3.46590226889887,3.54426878538104e-05,0.0106414275504859,295.90105095306,121.351512262617,164.045827551133
"Cyp2c69",-1.65803509463189,2.63950654707681,3.87587832426513e-05,0.0109438529819839,192.206546211975,67.2394541589098,61.7193203832988
"Slc17a1",-0.976354111708148,2.12575638078647,3.82990621886247e-05,0.0109438529819839,98.9982837289947,70.7393523075386,54.4758680904683
"Ubd",-1.23469296989584,1.38372412938766,3.94053577531151e-05,0.0109438529819839,55.5794956782024,49.4762984514184,26.4950499872799
"Slc9a3",0.82307331249949,5.96114009587777,4.04459422191158e-05,0.0109588773685892,667.149875714894,1318.52806586082,1328.25088890693
"Plekhs1",-0.875796911062195,3.34675439157572,4.34299502123639e-05,0.0112200771374221,243.47201117739,144.198857286399,143.27949369731
"Wfdc18",-1.05796597636696,1.9413642743379,4.34257430787671e-05,0.0112200771374221,95.2910616347128,51.1596682609639,48.9093777158642
"Cxcl5",-2.33028954276515,3.80876248110629,6.46956897567358e-05,0.0163341913069904,556.136672889251,87.7951015506269,113.712180042452
"Glipr1",-1.8814888243122,2.68294258775737,7.1274816184155e-05,0.0175953762886617,235.629928836502,38.6248707873149,63.1473742212483
"Edc3",0.593301790169668,5.77297978826682,7.35702567874998e-05,0.0177672170141812,821.685811342913,748.612631427969,1363.34706487294
"Isyna1",-0.979889672446575,6.07983738653733,8.09870047697147e-05,0.0191422262975907,1783.32534182737,806.04471984712,979.545215840088
"Plat",-1.42337547270717,6.02626096088415,8.89722049545252e-05,0.0205915046841629,2016.30787047541,683.907231768243,788.70756961802
"Hells",0.622695260923306,4.67770563149147,9.96530079040933e-05,0.0225927605062566,319.612195166372,492.071709508235,548.313703944
"Nqo1",0.535765609888255,6.39335074122274,0.000115159320780465,0.0255860978910037,1215.1502416372,1331.05118085682,1945.23328895882
"Edn1",-0.859960661213546,5.88645837718672,0.000125392870024811,0.0273135175118749,1421.74219364345,862.820239671884,832.623159687918
